id,title,description,availability,condition,price,link,image_link,brand
DEP-9027,Vintage 1980s The Smiths Hatful Of Hollow Band Tee Shirt,"Vintage 1980s The Smiths Hatful Of Hollow Band Tee Shirt | 21x26.5 Large",in stock,used,375.00 USD,https://www.vintageclosetpdx.com/product.html?id=depop-720249027,https://media-photos.depop.com/b1/43131440/3591893850_5c589b235bc54b92b09bc5c3de8b44ab/P0.jpg,The Vintage Closet PDX
JKT-1848,Carhartt VTG 90s Mens L Faded Red Hooded Active Jac Canvas Work Jacket USA Made,"Carhartt heavyweight canvas hooded work jacket, L, with quilted lining. Code: JKT-1848 -- Enter this product code at checkout to identify your item.",in stock,used,140.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317669871848,https://i.ebayimg.com/images/g/D0AAAeSwwXppQzx8/s-l1600.jpg,Carhartt
JACKET-2825,Distressed 1990s Faded Carhartt Detroit Jacket J001 BLK,"Distressed 1990s faded Carhartt Detroit jacket in black and green.",in stock,used,185.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728782825,https://media-photos.depop.com/b1/43131440/3641931418_928c4c02619b4d03920a27a4ea45edd4/P0.jpg,Carhartt
